OSMadre,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505900845300,TR,797F,DESPACHO,2020-10-05,2020-11-22 00:00:00,2020-11-10,20R3632,JH500825,LAJ00495,Programado,Overhaul,18240.0
505900845400,CO,797B,DESPACHO,2020-10-05,2020-10-19 00:00:00,2020-10-16,0R9812,10200408,JSM00429,Programado,Proceso Continuo,18342.0
505900848100,MA,797F,DESPACHO,2020-10-06,2020-10-17 00:00:00,2020-10-17,2922171EX,CRA10533,LAJ,Programado,Proceso Continuo,35182.0
505900848200,CO,24M,TERMINADO,2020-10-06,2020-11-04 00:00:00,2020-11-04,10R9498,CRA08764,B9K00387,Programado,Overhaul,1.0
505900849600,TR,797B,DESPACHO,2020-10-07,2020-12-31 00:00:00,2020-12-30,0R9813,10223906,JSM00362,Programado,Overhaul,13124.0
505900849700,TR,797B,DESPACHO,2020-10-08,2020-11-30 00:00:00,2020-11-23,0R9813,10192843,JSM00292,Programado,Overhaul,14380.0
505900849800,CO,D11T,TERMINADO,2020-10-07,2020-11-26 00:00:00,2020-11-19,0R4097,GEB00601,GEB01015,Programado,Overhaul,15543.0
505900849900,MF,797F,DESPACHO,2020-10-07,2020-11-28 00:00:00,2020-11-12,0R9814,400813901,LAJ00611,Programado,Overhaul,28898.0
505900850000,MA,797F,TERMINADO,2020-10-07,2020-10-19 00:00:00,2020-10-19,2922171EX,CRA10467,LAJ00182,Programado,Proceso Continuo,35303.0
505900850100,MA,797F,DESPACHO,2020-10-07,2020-12-10 00:00:00,2020-11-26,2922171EX,CRA10272,LAJ00233,Evento,Overhaul,8463.0
505900851600,DI,854K,TERMINADO,2020-10-09,2020-11-28 00:00:00,2020-10-31,3168335EX,RTA00437,221,Programado,Overhaul,21081.0
505900852200,MF,797F,TERMINADO,2020-10-09,2020-10-23 00:00:00,2020-10-23,0R9814,DWT00136,LAJ00230,Programado,Proceso Continuo,21081.0
505900852500,MA,797B,DESPACHO,2020-10-09,2020-11-22 00:00:00,2020-11-22,1925826EX,CRA11732,JSM00403,Programado,Proceso Continuo,6578.0
505900852600,MA,797B,DESPACHO,2020-10-09,2020-11-29 00:00:00,2020-11-16,1925826EX,CRA05421,JSM00403,Evento,Proceso Continuo,17418.0
505900852700,MA,797F,DESPACHO,2020-10-09,2020-12-08 00:00:00,2020-11-29,2922171EX,CRA08456,LAJ00234,Evento,Overhaul,14170.0
505900857500,MO,797B,DESPACHO,2020-10-13,2021-01-11 00:00:00,2021-01-11,10R7929,NPM00491,JSM00186,Programado,Overhaul,21073.0
505900854300,CO,797B,TERMINADO,2020-10-13,2020-10-22 00:00:00,2020-10-22,0R9812,10228939,JSM00460,Programado,Proceso Continuo,16139.0
505900854400,TR,797B,TERMINADO,2020-10-13,2020-11-30 00:00:00,2020-11-19,0R9813,10305611,JSM00452,Programado,Overhaul,6889.0
505900854900,DI,797B,TERMINADO,2020-10-09,2020-12-10 00:00:00,2020-11-20,2912627EX,914154411,JSM00257,Programado,Overhaul,18549.0
505900858700,MF,797F,DESPACHO,2020-10-13,2020-10-29 00:00:00,2020-10-28,0R9814,408319,LAJ00500,Programado,Proceso Continuo,30371.0
505900859400,DI,797B,TERMINADO,2020-10-14,2020-12-17 00:00:00,2020-11-20,2912627EX,325812813,JSM00168,Programado,Overhaul,3673.0
505900859600,MF,797B,TERMINADO,2020-10-14,2020-12-09 00:00:00,2020-11-23,0R9814,41274857,JSM00178,Programado,Overhaul,16551.0
505900859000,CO,797B,DESPACHO,2020-10-14,2020-11-01 00:00:00,2020-10-28,0R9812,T6B00204,JSM00234,Programado,Proceso Continuo,22133.0
