OS,cliente,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505901087801,INTERCAMBIO O INTERNO CRC,CO,793F,DESPACHO,2021-05-01,2021-08-24 00:00:00,2021-06-24,20R0130.505,SIN SERIE,SSP01227,Programado,Overhaul,1.0
505901087601,INTERCAMBIO O INTERNO CRC,MO,793C,DESPACHO,2021-05-01,2021-10-17 00:00:00,2021-09-30,0R9558.505,7DS01350,4AR00229,Programado,Overhaul,20238.0
505901087701,INTERCAMBIO O INTERNO CRC,MF,793B,DESPACHO,2021-05-01,2021-08-15 00:00:00,2021-07-29,10R5399.505,CRA06597,1HL00234,Programado,Overhaul,16900.0
505901087901,INTERCAMBIO INDUSTRIALIZACION,MA,777F,DESPACHO,2021-05-04,2021-05-11 00:00:00,2021-05-11,2857636SMREX.505,420114298,A9999999,Evento,Puntual,1.0
505901101501,INTERCAMBIO O INTERNO CRC,MO,797F,DESPACHO,2021-05-07,2021-11-15 00:00:00,2021-11-15,20R7015.505,LLM01505,LAJ00438,Evento,Overhaul,3537.0
505901095001,EL TENIENTE,CO,R1600H,DESPACHO,2021-05-03,2021-07-17 00:00:00,2021-07-15,3799915,POR VALIDAR,9SD00232,Evento,Overhaul,9000.0
505901095101,EL TENIENTE,TR,R1600H,DESPACHO,2021-05-03,2021-07-08 00:00:00,2021-06-30,2849607,KSS01427,9SD00232,Evento,Overhaul,11000.0
505901095201,ANDINA,TR,R1700G,DESPACHO,2021-05-03,2021-07-19 00:00:00,2021-07-12,2849078,POR VALIDAR,SBR01003,Evento,Overhaul,9500.0
505901094001,LOS COLORADOS (CMP -Suc.Coquimbo),TR,D10T,DESPACHO,2021-08-10,2021-10-30 00:00:00,2021-11-01,2135171,DRL03865,RJG04552,Evento,Tarifa Fija,30625.0
505901094101,LOS COLORADOS (CMP -Suc.Coquimbo),CO,D10T,DESPACHO,2021-08-10,2021-09-30 00:00:00,2021-09-20,2267613,VER PLACA O ASIGNA,RJG04552,Programado,Tarifa Fija,30625.0
505901089001,CORP.NAC.DEL COB DE CHILEDIVIMINI,TR,797F,DESPACHO,2021-05-01,2021-08-22 00:00:00,2021-08-22,20R3632.000,JH5R8573,LAJ00182,Evento,Overhaul,20120.0
505901089101,CORP.NAC.DEL COB DE CHILEDIVIMINI,TR,797F,DESPACHO,2021-05-01,2021-08-20 00:00:00,2021-08-17,20R3632.000,JH500327,LAJ00217,Evento,Overhaul,19989.0
505901092501,INTERCAMBIO INDUSTRIALIZACION,TR,797F,DESPACHO,2021-05-07,2021-08-15 00:00:00,2021-07-30,20R8719.505,R1N00670,A9999999,Evento,Overhaul,0.0
508600223601,CORP.NAC.DEL COB DE CHILEDIVIMINI,MF,854K,DESPACHO,2021-05-03,2021-07-15 00:00:00,2021-07-10,10R0802.000,SS,22100294,Programado,Overhaul,1.0
508600223701,CORP.NAC.DEL COB DE CHILEDIVIMINI,MF,854K,DESPACHO,2021-05-03,2021-07-18 00:00:00,2021-07-14,10R0802.000,SS,22100294,Programado,Overhaul,7392.0
505901095301,INTERCAMBIO O INTERNO CRC,DI,824H,DESPACHO,2021-05-03,2021-06-24 00:00:00,2021-06-22,2404664EX.505,CRA06560,ASX,Evento,Preservado,0.0
505901095401,INTERCAMBIO O INTERNO CRC,DI,824H,DESPACHO,2021-05-03,2021-05-31 00:00:00,2021-05-07,2404663EX.505,CRA09011,ASX,Evento,Preservado,0.0
505901095501,INTERCAMBIO O INTERNO CRC,DI,773E,DESPACHO,2021-05-03,2021-05-31 00:00:00,2021-05-07,9D6130EX.505,CRA1614,BDA,Evento,Preservado,0.0
505901103801,LOS BRONCES,MF,795F,DESPACHO,2021-05-06,2021-05-31 00:00:00,2021-05-17,3262377,POR VALIDAR,ERM00271,Evento,Preservado,0.0
505901104201,LOS BRONCES,MF,795F,DESPACHO,2021-05-06,2021-05-31 00:00:00,2021-05-19,3262377.5,POR VALIDAR,ERM00274,Evento,Preservado,0.0
505901089801,INTERCAMBIO O INTERNO CRC,CO,797B,DESPACHO,2021-05-03,2021-05-17 00:00:00,2021-05-12,0R9812.505,T6B000137,JSM00468,Programado,Proceso Continuo,24818.0
505901089901,INTERCAMBIO O INTERNO CRC,CO,793C,DESPACHO,2021-05-03,2021-06-25 00:00:00,2021-06-23,0R4089.505,CRA09038,ATY00630,Programado,Overhaul,18977.0
505901090001,INTERCAMBIO O INTERNO CRC,MF,793C,DESPACHO,2021-05-03,2021-08-30 00:00:00,2021-08-25,10R5399.50,AOD00138,ATY00929,Programado,Overhaul,25181.0
505901093501,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-05-04,2021-06-30 00:00:00,2021-06-25,1925826EX.505,CRA06909,JSM00445,Evento,Overhaul,14900.0
505901093601,INTERCAMBIO O INTERNO CRC,MA,797F,DESPACHO,2021-05-04,2021-06-29 00:00:00,2021-06-29,2922171EX.505,401614404,LAJ00656,Evento,Overhaul,18722.0
505901096901,INTERCAMBIO O INTERNO CRC,DI,797B,DESPACHO,2021-05-04,2021-07-31 00:00:00,2021-07-27,2912627EX.,437052809B,LAJ00220,Programado,Overhaul,19933.0
505901097001,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-05-05,2021-07-24 00:00:00,2021-07-21,1925826EX.505,CRA05557,LAJ00259,Evento,Overhaul,14541.0
505901097101,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-05-05,2021-07-17 00:00:00,2021-06-30,1925826EX.505,CRA04898,JSM,Evento,Overhaul,23995.0
505901098901,CIA.MIN.CERRO COLORADO LTDA.,MO,793D,DESPACHO,2021-05-07,2021-05-21 00:00:00,2021-05-18,4888196,S/S,FDB00828,Evento,Puntual,0.0
505901099001,CIA.MIN.CERRO COLORADO LTDA.,MO,793F,TERMINADO,2021-05-07,2021-05-21 00:00:00,2021-05-20,3659319,S/S,SSP00295,Evento,Puntual,1.0
505901096101,CONTRATO LOMAS BAYAS,MO,793F,DESPACHO,2021-05-04,2021-05-17 00:00:00,2021-05-17,2507100,B7B02104,SSP01171,Evento,Puntual,1.0
505901102601,CIA.MINERA HUASCO (CMP),MF,793F,DESPACHO,2021-05-07,2021-10-15 00:00:00,2021-10-15,3345492,KAK02736,SSP00984,Evento,Tarifa Fija,25786.0
505901102701,CIA.MINERA HUASCO (CMP),DI,793F,DESPACHO,2021-05-07,2021-07-31 00:00:00,2021-07-12,2801609,325814432,SSP00980,Evento,Tarifa Fija,11680.0
505901097901,INTERCAMBIO O INTERNO CRC,MF,797F,DESPACHO,2021-05-06,2021-09-12 00:00:00,2021-09-12,0R9814.505,1006176,LAJ00414,Programado,Overhaul,33616.0
505901098001,INTERCAMBIO O INTERNO CRC,MF,793C,DESPACHO,2021-05-06,2021-08-31 00:00:00,2021-08-09,20R3788.505,400814502,ATY00967,Programado,Overhaul,21236.0
505901098601,INTERCAMBIO O INTERNO CRC,MF,797B,DESPACHO,2021-05-07,2021-05-30 00:00:00,2021-05-30,0R9814.505,CRA11439,JSM00354,Programado,Proceso Continuo,25430.0
505901098701,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-05-07,2021-08-25 00:00:00,2021-08-23,1925826EX.505,CRA06413,JSM00468,Evento,Overhaul,15050.0
505901109201,INTERCAMBIO O INTERNO CRC,MF,797B,DESPACHO,2021-05-07,2021-07-29 00:00:00,2021-07-24,0R9814.505,DWT00145,JSM00354,Evento,Puntual,2939.0
505901102801,INTERCAMBIO O INTERNO CRC,MA,793F,DESPACHO,2021-05-12,2021-05-20 00:00:00,2021-05-18,2955706SML.505,CRA09438,A9999999,Evento,Puntual,0.0
505901104501,INTERCAMBIO O INTERNO CRC,MO,797F,DESPACHO,2021-06-11,2021-06-16 00:00:00,2021-06-14,20R7015.000,RMR00234,S/N,Evento,Puntual,0.0
505901104001,INTERCAMBIO O INTERNO CRC,TR,D11T,DESPACHO,2021-05-11,2021-07-12 00:00:00,2021-07-06,0R4057.505,10277733B,AMA00552,Programado,Overhaul,11325.0
505901103901,INTERCAMBIO O INTERNO CRC,TR,D11T,DESPACHO,2021-05-11,2021-06-21 00:00:00,2021-06-19,3523191,CRA11779,AMA00552,Programado,Overhaul,11325.0
505901103401,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-05-11,2021-07-18 00:00:00,2021-07-17,1925826EX.505,CRA06861,JSM00232,Evento,Overhaul,15443.0
505901103601,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-05-11,2021-08-28 00:00:00,2021-08-24,1925826EX.505,MM00112,JSM00367,Evento,Overhaul,14500.0
505901103701,INTERCAMBIO O INTERNO CRC,MA,797F,DESPACHO,2021-05-11,2021-05-31 00:00:00,2021-05-26,2922171EX.505,CRA10445,LAJ00172,Programado,Proceso Continuo,6867.0
505901107501,CLIENTE EL ABRA,MO,793B,DESPACHO,2021-05-11,2021-05-19 00:00:00,2021-05-18,0R9558.505,7DS01344,1HL00483,Evento,Preservado,0.0
505901105501,CLIENTE EL ABRA,TR,773E,DESPACHO,2021-05-11,2021-05-17 00:00:00,2021-05-18,9G9624.000,8AA04152,BDA00744,Evento,Preservado,0.0
505901107301,INTERCAMBIO O INTERNO CRC,MA,797B,DESPACHO,2021-05-12,2021-07-23 00:00:00,2021-07-19,1925826EX.505,400612136,JSM00293,Evento,Overhaul,14482.0
505901106601,CORP.NAC.DEL COB DE CHILEDIVIMINI,CO,777F/WT,TERMINADO,2021-05-13,2021-08-22 00:00:00,2021-08-22,2495539,150457,JRP00434,Evento,Overhaul,14686.0
505901107601,RADOMIRO TOMIC,MO,777F/WT,DESPACHO,2021-05-13,2021-09-20 00:00:00,2021-09-21,10R9819.000,LJW06470,JRP00434,Evento,Overhaul,6110.0
505901126401,CIA.MINERA HUASCO (CMP),MO,6060 BH,DESPACHO,2021-05-13,2021-10-30 00:00:00,2021-10-30,3792430,MLM00311,DHN60162,Evento,Puntual,3837.0
