NPersonal,estadoFinalizado,calificacion,puntaje,IDCurso
3483834,1,Apto,95.0,HME0317
3484587,1,Apto,75.0,HME0317
3477873,1,Apto,75.0,HME0317
3484096,1,Apto,85.0,HME0317
3484067,1,Apto,82.0,HME0317
3484056,1,Apto,80.0,HME0317
3480201,1,Apto,95.0,HME0317
3484033,1,Apto,90.0,HME0317
3479002,1,Apto,100.0,HME0317
3484067,1,Apto,90.0,HME2063
3484056,1,Apto,85.0,HME2063
3484587,1,Apto,90.0,HME2063
3484033,1,Apto,90.0,HME2063
3484096,1,Apto,95.0,HME2063
3477873,1,Apto,90.0,HME2063
3480123,1,Apto,90.0,HME2125
3479002,1,Apto,85.0,HME2125
3479002,1,Apto,40.0,HME2125
3481247,1,Apto,95.0,HME2125
3479131,1,Apto,100.0,HME2125
3479164,1,Apto,100.0,HME2131
3481247,1,No apto,40.0,HME2131
3480211,1,Apto,90.0,HME2131
3479131,1,Apto,95.0,HME2131
3480123,1,Apto,80.0,HME2122
3481247,1,Apto,80.0,HME2122
3479002,1,Apto,75.0,HME2111
3480123,1,Apto,80.0,HME2111
3481247,1,Apto,85.0,HME2111
3479131,1,Apto,80.0,HME2111
3484067,1,Apto,70.0,HME2106
3477873,1,Apto,100.0,HME2106
3482577,1,Apto,75.0,HME2106
3479002,1,Apto,90.0,HME2106
3479002,0,,0.0,HME2106
3482577,0,,0.0,HME2106
3477873,1,Apto,85.0,HME2105
3484587,1,Apto,75.0,HME2105
3482577,1,Apto,85.0,HME2105
3479002,1,Apto,95.0,HME2105
3480123,1,Apto,75.0,HME2121
3481247,1,Apto,70.0,HME2121
3479131,1,Apto,90.0,HME2121
3482577,1,Apto,75.0,HME2099
3479002,1,Apto,80.0,HME2099
3479459,1,Apto,100.0,HME4008
3485764,1,Apto,90.0,HME0924
3480123,1,Apto,100.0,HME0924
3480579,1,Apto,100.0,HME0924
3478962,1,Apto,100.0,HME0924
3479202,1,Apto,100.0,HME0924
3483814,0,,0.0,CAD00458
3484134,1,,0.0,EES_ESP_V8
3479164,1,,0.0,EES_ESP_V8
3479445,0,,0.0,EES_ESP_V8
3479445,1,,0.0,EES_ESP_V8
3480201,1,,0.0,EES_ESP_V8
3479202,1,,0.0,EES_ESP_V8
3482354,1,,0.0,EES_ESP_V8
3488758,1,,0.0,EES_ESP_V8
3481247,1,,0.0,EES_ESP_V8
3480579,0,,0.0,EES_ESP_V8
3479202,1,,0.0,EES_ESP_V8
3479287,1,,0.0,EES_ESP_V8
3477873,1,,0.0,EES_ESP_V8
3479445,1,,0.0,EES_ESP_V8
3479131,1,,0.0,EES_ESP_V8
3484067,1,,0.0,EES_ESP_V8
3484397,1,,0.0,EES_ESP_V8
3482577,1,,0.0,EES_ESP_V8
3480123,1,Apto,85.0,HME1356
3480123,1,Apto,90.0,HME0051
3479189,1,Apto,85.0,HME0050
3480123,1,Apto,85.0,HME0050
3479445,1,Apto,85.0,HME0050
3482847,1,Apto,90.0,HME0158
3482847,1,No apto,30.0,HME0158
3482847,1,No apto,30.0,HME0158
3477848,1,Apto,90.0,HME1167
3477848,0,No apto,70.0,HME1168
3477848,1,Apto,100.0,HME1170
3485764,1,Apto,80.0,HME1175
3477848,1,Apto,80.0,HME1175
3485764,1,Apto,90.0,HME1176
3477848,1,Apto,80.0,HME1176
3477848,1,Apto,80.0,HME1179
3477848,1,Apto,80.0,HME1180
3485764,1,Apto,100.0,HME1181
3477848,1,Apto,80.0,HME1181
3477848,1,Apto,80.0,HME1182
3477848,1,Apto,80.0,HME1185
3485764,1,Apto,100.0,HME1150
3477848,1,Apto,90.0,HME1150
3485764,1,Apto,100.0,HME1026
3477848,1,Apto,80.0,HME1026
3485764,1,Apto,90.0,HME1027
3477848,1,Apto,90.0,HME1027
3485764,1,Apto,90.0,HME1028
3477848,1,Apto,90.0,HME1028
3485764,1,Apto,100.0,HME1029
3477848,1,Apto,89.0,HME1029
3485764,1,,0.0,HME1151
3477848,1,,0.0,HME1151
3477848,1,,0.0,HME1151
3485764,1,,0.0,HME1036
3477848,1,,0.0,HME1036
3477848,1,,0.0,HME1036
3477848,1,,0.0,HME1036
3485764,1,Apto,100.0,HME1030
3477848,1,Apto,80.0,HME1030
3485764,1,Apto,90.0,HME1037
3477848,1,Apto,90.0,HME1037
3485764,1,Apto,100.0,HME1031
3477848,1,Apto,90.0,HME1031
3485764,1,Apto,90.0,HME1032
3477848,1,Apto,80.0,HME1032
3485764,1,Apto,80.0,HME1033
3477848,1,Apto,90.0,HME1033
3485764,1,Apto,80.0,HME1152
3477848,1,Apto,100.0,HME1152
3485764,1,Apto,80.0,HME1034
3477848,0,No apto,50.0,HME1034
3485764,1,Apto,80.0,HME1153
3477848,1,Apto,80.0,HME1153
3485764,1,Apto,100.0,HME1038
3477848,1,Apto,80.0,HME1038
3485764,1,,0.0,HME0098
3477848,1,,0.0,HME0098
3485764,1,Apto,90.0,HME1155
3485764,1,Apto,100.0,HME0325
3477848,0,No apto,70.0,HME0325
3485764,1,Apto,80.0,HME1035
3477848,1,Apto,80.0,HME1035
3484067,1,Apto,90.0,HME1035
3485764,1,Apto,100.0,HME1157
3477848,1,Apto,80.0,HME1157
3485764,1,Apto,100.0,HME1158
3485764,1,Apto,90.0,HME1159
3477848,1,Apto,100.0,HME1159
3485764,1,Apto,90.0,HME1160
3477848,1,Apto,80.0,HME1160
3485764,1,Apto,90.0,HME1161
3477848,1,Apto,90.0,HME1161
3485764,1,Apto,80.0,HME1162
3477848,1,Apto,80.0,HME1162
3484067,1,Apto,100.0,HME1162
3485764,1,Apto,80.0,HME0628
3477848,1,Apto,100.0,HME0628
3485764,1,Apto,80.0,HME0629
3477848,1,Apto,100.0,HME0629
3484067,1,Apto,100.0,HME0629
3480123,1,Apto,90.0,HME1334
3482863,1,Apto,81.0,CO00064
3481104,1,Apto,97.0,CO00064
3482808,1,Apto,93.0,CO00064
3477848,1,Apto,95.0,CO00064
3482577,1,Apto,100.0,CO00064
3479002,1,Apto,98.0,CO00064
3481128,1,Apto,95.0,CO00064
3479182,1,Apto,97.0,CO00064
3482863,1,Apto,97.0,CO00064
3482894,1,Apto,97.0,CO00064
3483833,1,Apto,100.0,CO00064
3482354,1,Apto,100.0,CO00064
3480201,1,Apto,97.0,CO00064
3482308,1,Apto,97.0,CO00064
3480944,1,Apto,95.0,CO00064
3482577,0,,0.0,OSP-BMT-39
3479189,1,Apto,90.0,INT25
3479009,1,Apto,75.0,INT25
3480123,1,Apto,75.0,INT25
3480184,1,Apto,90.0,INT25
3478962,0,,0.0,FPSMINCAM5
3482577,0,,0.0,FPSCRCN3
3478962,0,,0.0,FPSCRCN6
3479002,0,,0.0,FPSCRCPP2
3479002,0,,0.0,FPSCRCPT3
3479261,0,,0.0,FPSCRCPTN3
3480123,0,,0.0,FPSCRCPTN3
3481247,0,,0.0,FPSCRCPTN3
3479202,0,,0.0,FPSCRCPTN3
3482577,0,,0.0,FPSCRCPTN3
3479445,0,,0.0,FPSCRCPTN3
3479164,1,,0.0,FPSCRCPTN3
3479002,0,,0.0,FPSCRCPTN3
3479131,1,,0.0,FPSCRCPTN3
3479009,0,,0.0,FPSCRCPTN3
3479189,0,,0.0,FPSCRCPT2
3480123,0,,0.0,FPSCRCPT2
3479445,0,,0.0,FPSCRCPT2
3481247,1,,0.0,FPSCRCPT2
3477878,0,,0.0,FPSCRCPTN2
3481247,0,,0.0,FPSCRCPTN2
3484033,0,,0.0,FPSCRCPTN2
3482894,0,,0.0,FPSCRCPTN2
3484587,0,,0.0,FPSCRCPTN2
3479266,0,,0.0,FPSCRCPTN2
3479002,1,,0.0,FPSCRCPTN2
3484098,0,,0.0,FPSCRCPTN2
3484067,0,,0.0,FPSCRCPTN2
3484035,0,,0.0,FPSCRCPTN2
3480201,0,,0.0,FPSCRCPTN2
3484056,0,,0.0,FPSCRCPTN2
3479002,1,,0.0,FPSCRCPTN2
3477873,0,,0.0,FPSCRCPTN2
3482577,1,,0.0,FPSCRCPTN2
3481099,0,,0.0,FPSCRCPTN2
3484096,0,,0.0,FPSCRCPTN2
3481128,0,,0.0,FPSCRCPT1
3483156,0,,0.0,FPSCRCPTN1
3479182,0,,0.0,FPSCRCPTN1
3482847,0,,0.0,FPSCRCPTN1
3481104,0,,0.0,FPSCRCPTN1
3478195,0,,0.0,FPSCRCPTN1
3482808,0,,0.0,FPSCRCPTN1
3479002,0,,0.0,FPSCRCPTN1
3482894,0,,0.0,FPSCRCPTN1
3478962,0,,0.0,FPSCRCPTN6
3480184,0,,0.0,FPSCRCPTN6
3479002,0,,0.0,FPSCRCPTN6
3480184,1,,0.0,FPSCRCPT5
3479164,0,,0.0,FPSCRCPTN5
3479131,0,,0.0,FPSCRCPTN5
3478962,0,,0.0,FPSCRCPTN5
3479002,0,,0.0,FPSCRCPTN5
3481247,0,,0.0,FPSCRCPT4
3481247,0,,0.0,FPSCRCPTN4
3480211,0,,0.0,FPSCRCPTN4
3479164,0,,0.0,FPSCRCPTN4
3479002,0,,0.0,FPSCRCPTN4
3479131,1,,0.0,FPSCRCPTN4
3479002,0,,0.0,FPSCRCPTN7
3479459,1,,0.0,FPSCRCPTN7
3482354,0,,0.0,FPSCRCPTN7
3484397,1,,0.0,FPSMINEND2
3479002,0,,0.0,FPSMINEND2
3483834,1,,0.0,FPSMINEND2
3483833,1,,0.0,FPSMINEND2
3485764,1,,0.0,FPSMINEND1
3485764,1,,0.0,FPSMINEND1
