OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900448100,505900448106,0.0,0.0,0.0,0.0,0
505900448100,505900448107,0.0,0.0,0.0,0.0,0
505900448100,505900448108,0.0,0.0,0.0,0.0,0
505900448100,505900448109,0.0,0.0,0.0,0.0,230
505900448100,505900448110,953.03,0.0,0.0,953.03,60
505900449500,505900449501,7136.97,2985.73,0.0,10380.3,105
505900449500,505900449502,0.0,0.0,0.0,0.0,0
505900449500,505900449503,0.0,0.0,0.0,0.0,0
505900449500,505900449504,0.0,0.0,0.0,0.0,0
505900449500,505900449505,0.0,0.0,0.0,0.0,0
505900449500,505900449506,0.0,0.0,0.0,0.0,0
505900449500,505900449507,0.0,0.0,0.0,0.0,0
505900449500,505900449508,0.0,0.0,0.0,0.0,0
505900451000,505900451001,37609.79,5795.06,0.0,43404.85,62
505900451000,505900451002,0.0,0.0,0.0,0.0,0
505900451000,505900451003,0.0,0.0,0.0,0.0,0
505900451000,505900451004,0.0,0.0,0.0,0.0,0
505900451000,505900451005,0.0,0.0,0.0,0.0,0
505900451000,505900451006,0.0,0.0,0.0,0.0,0
505900451000,505900451007,0.0,0.0,0.0,0.0,0
505900451000,505900451008,0.0,0.0,0.0,0.0,0
505900451000,505900451009,0.0,0.0,0.0,0.0,0
505900451000,505900451010,294.51,0.0,0.0,294.51,45
505900451100,505900451101,110060.0,8080.56,250.9,118391.46,98
505900451100,505900451102,0.0,0.0,0.0,0.0,0
505900451100,505900451103,0.0,0.0,0.0,0.0,0
505900451100,505900451104,0.0,0.0,0.0,0.0,0
505900451100,505900451105,231.56,0.0,0.0,231.56,15
505900451100,505900451106,0.0,0.0,0.0,0.0,0
505900451100,505900451107,0.0,0.0,0.0,0.0,0
505900452600,505900452601,70564.77,16408.63,272.62,89125.71,155
505900452600,505900452602,0.0,0.0,0.0,0.0,0
505900452600,505900452603,27.9,0.0,0.0,27.9,93
505900452600,505900452604,0.0,0.0,0.0,0.0,0
505900452600,505900452605,2.06,0.0,0.0,2.06,19
505900452600,505900452606,9.03,0.0,0.0,9.03,26
505900452600,505900452607,0.0,0.0,0.0,0.0,0
505900452600,505900452608,0.0,0.0,0.0,0.0,0
505900459700,505900459701,4137.58,1194.16,1783.0,13397.79,98
505900459700,505900459702,48207.74,6426.91,0.0,54634.65,99
505900459700,505900459703,0.0,0.0,0.0,0.0,0
505900459700,505900459704,0.0,0.0,0.0,0.0,0
505900459700,505900459705,0.0,0.0,0.0,0.0,0
505900459700,505900459706,0.0,0.0,0.0,0.0,0
505900459700,505900459707,0.0,0.0,0.0,0.0,0
505900459700,505900459708,0.0,0.0,0.0,0.0,0
505900461400,505900461401,12335.15,6236.79,740.26,20459.33,78
505900461400,505900461402,0.0,0.0,0.0,0.0,0
505900461400,505900461403,0.0,0.0,0.0,0.0,0
505900461400,505900461404,0.0,0.0,0.0,0.0,0
505900461400,505900461405,0.0,0.0,0.0,0.0,0
505900461400,505900461406,0.0,0.0,0.0,0.0,0
