OSMadre,Orden,Operacion,NPersonal,TrabajoReal
505900111400,505900111401,250,3480927,6.0
505900111400,505900111401,250,3482432,6.0
505900111400,505900111401,250,3483605,12.0
505900111400,505900111401,250,3483754,6.0
505900111400,505900111401,260,3482803,3.0
505900111400,505900111401,280,3482803,5.0
505900111400,505900111401,280,3483062,8.0
505900111400,505900111401,290,3482868,6.0
505900111400,505900111401,300,3479413,14.0
505900111400,505900111401,300,3480210,8.0
505900111400,505900111401,300,3483756,15.0
505900111400,505900111401,310,3482803,2.0
505900111400,505900111401,310,3483754,7.0
505900111400,505900111401,310,3483759,7.0
505900111400,505900111401,320,3478671,11.0
505900111400,505900111401,320,3478983,24.0
505900111400,505900111401,320,3479015,8.0
505900111400,505900111401,320,3479186,41.0
505900111400,505900111401,320,3479192,18.0
505900111400,505900111401,320,3479314,30.0
505900111400,505900111401,320,3479681,16.0
505900111400,505900111401,320,3480170,18.0
505900111400,505900111401,320,3480526,5.0
505900111400,505900111401,320,3484445,36.0
505900111400,505900111401,330,3480216,21.0
505900111400,505900111401,340,3480216,10.5
505900111400,505900111401,360,3479013,4.0
505900127200,505900127201,20,3479668,10.5
505900127200,505900127201,20,3482696,10.5
505900127200,505900127201,20,3483166,14.0
505900127200,505900127201,30,3483166,14.0
505900127200,505900127201,40,3479994,11.0
505900127200,505900127201,40,3483065,6.0
505900127200,505900127201,40,3483732,14.0
505900127200,505900127201,50,3483603,5.0
505900127200,505900127201,60,3477881,2.0
505900127200,505900127201,70,3477881,1.0
505900127200,505900127201,80,3477881,2.0
505900127200,505900127201,150,3483833,24.5
