Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;Cart JRP,10R-981;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
061-8639;1;1326;Seal-O-Ring;253-3534;Gauge GP-Oil Level (Dipstick);CCR DESARME;;;
4N-0848;1;1204;Sleeve-Wear;253-2634;Gear GP-Rear;CCR DESARME;;;
5F-7403;2;1204;Lockwasher;253-2634;Gear GP-Rear;CCR DESARME;;;
5F-7404;2;1204;Locknut-Bearing;253-2634;Gear GP-Rear;CCR DESARME;;;
5P-1370;2;1204;Bearing AS-Roller;253-2634;Gear GP-Rear;CCR DESARME;;;
102-5861;2;1204;Plate-Thrust;253-2634;Gear GP-Rear;CCR DESARME;;;
224-9664;2;1204;Bushing;253-2634;Gear GP-Rear;CCR DESARME;;;
226-6052;1;1204;Bushing;253-2634;Gear GP-Rear;CCR DESARME;;;
229-1663;1;1204;Plate-Thrust;253-2634;Gear GP-Rear;CCR DESARME;;;
209-8622;1;1204;Bushing;253-2634;Gear GP-Rear;CCR DESARME;;;
247-3837;2;1204;Hose AS;253-2634;Gear GP-Rear;CCR DESARME;;;
031-5085;6;1204;Bolt-Locking;253-2634;Gear GP-Rear;CCR DESARME;;;
117-8801;2;1204;Seal-O-Ring;253-2634;Gear GP-Rear;CCR DESARME;;;
136-7227;2;1204;Seal-O-Ring;253-2634;Gear GP-Rear;CCR DESARME;;;
297-7956;2;1204;Elbow;253-2634;Gear GP-Rear;CCR DESARME;;;
5E-8771;2;1204;Seal-O-Ring;253-2634;Gear GP-Rear;CCR DESARME;;;
5P-8429;2;1204;Seal-O-Ring;253-2634;Gear GP-Rear;CCR DESARME;;;
502-4034;1;1204;Seal-O-Ring;253-2634;Gear GP-Rear;CCR DESARME;;;
214-7568;2;1204;Seal-O-Ring;253-2634;Gear GP-Rear;CCR DESARME;;;
225-1242;1;1157;Gasket;259-3123;Housing GP-Flywheel;CCR DESARME;;;
238-5082;1;1157;Seal-O-Ring;259-3123;Housing GP-Flywheel;CCR DESARME;;;
214-7566;2;1157;Seal-O-Ring;259-3123;Housing GP-Flywheel;CCR DESARME;;;
238-5080;3;1157;Seal-O-Ring;259-3123;Housing GP-Flywheel;CCR DESARME;;;
214-7567;1;1157;Seal-O-Ring;259-3123;Housing GP-Flywheel;CCR DESARME;;;
8S-9191;6;1157;Bolt;259-3123;Housing GP-Flywheel;CCR DESARME;;;
142-5868;1;1160;Seal-Crankshaft;319-0785;Seal GP-Crankshaft;CCR BLOCK;;;
226-5613;2;1071;Gasket;277-0646;Lines GP-Air;CCR DESARME;;;
6L-3005;2;1071;Clamp-Band;277-0646;Lines GP-Air;CCR DESARME;;;
6V-4589;1;1071;Seal-O-Ring;277-0646;Lines GP-Air;CCR DESARME;;;
6V-5048;1;1071;Seal-O-Ring;277-0646;Lines GP-Air;CCR DESARME;;;
6V-6353;2;1071;Seal-O-Ring;277-0646;Lines GP-Air;CCR DESARME;;;
4N-0913;1;1307;Screen-Strainer;270-7020;Lines GP-Engine Oil;CCR DESARME;;;
4N-0914;1;1307;Clip;270-7020;Lines GP-Engine Oil;CCR DESARME;;;
3P-0650;1;1307;Seal-O-Ring;270-7020;Lines GP-Engine Oil;CCR DESARME;;;
5P-8068;1;1307;Seal-O-Ring;270-7020;Lines GP-Engine Oil;CCR DESARME;;;
2P-4305;2;1307;Gasket;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
4N-0865;1;1307;Gasket;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
9F-6304;2;1307;Spring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
9M-0853;2;1307;Plunger-Valve;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
6V-5063;1;1307;Seal-O-Ring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
388-4871;1;1307;Hose AS;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
388-4876;1;1307;Hose AS;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
6V-9027;1;1307;Seal-O-Ring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
8C-3446;1;1307;Valve-Sampling;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
061-7540;5;1307;Seal-O-Ring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
113-5304;3;1307;Seal-O-Ring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
214-7566;1;1307;Seal-O-Ring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
5P-8068;1;1307;Seal-O-Ring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
5P-9890;2;1307;Seal-O-Ring;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
8C-3445;1;1307;Cap-Dust;231-0211;Lines GP-Engine Oil Filter;CCR DESARME;;;
4P-0707;6;1274;Clamp AS;259-3112;Lines GP-Fuel;CCR DESARME;;;
7F-2050;1;1274;Locknut;259-3112;Lines GP-Fuel;CCR DESARME;;;
322-7615;1;1274;Hose AS;259-3112;Lines GP-Fuel;CCR DESARME;;;
322-7616;2;1274;Hose AS;259-3112;Lines GP-Fuel;CCR DESARME;;;
322-7617;1;1274;Hose AS;259-3112;Lines GP-Fuel;CCR DESARME;;;
327-4448;1;1274;Valve GP-Check;259-3112;Lines GP-Fuel;CCR DESARME;;;
374-7347;1;1274;Hose AS;259-3112;Lines GP-Fuel;CCR DESARME;;;
374-7348;1;1274;Hose AS;259-3112;Lines GP-Fuel;CCR DESARME;;;
0L-1143;3;1274;Bolt;259-3112;Lines GP-Fuel;CCR DESARME;;;
214-7568;5;1274;Seal-O-Ring;259-3112;Lines GP-Fuel;CCR DESARME;;;
238-5081;1;1274;Seal-O-Ring;259-3112;Lines GP-Fuel;CCR DESARME;;;
238-5080;1;1274;Seal-O-Ring;259-3112;Lines GP-Fuel;CCR DESARME;;;
