Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;T4Y_3597672;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
4P-7429;1;;1439;Clip;356-5118;Sensor GP-Engine;CCR DESARME
352-3968;1;;1439;Clip;356-5118;Sensor GP-Engine;CCR DESARME
6N-9533;2;;7150;Shield AS-Heat;243-3864;Shield GP-Heat;CCR DESARME
1S-9169;8;;7150;Bolt-High Temperature;243-3864;Shield GP-Heat;CCR DESARME
391-2167;8;;1052;Locknut-Flange;344-3585;Turbocharger GP;CCR TU&EL
357-1752;2;;1052;Gasket-Turbocharger;344-3585;Turbocharger GP;CCR TU&EL
3K-0360;1;;1329;Seal-O-Ring;339-8581;Valve GP-Shutoff;CCR DESARME
6V-7238;1;;1329;Valve-Shutoff;339-8581;Valve GP-Shutoff;CCR DESARME
6V-8398;1;;1329;Seal-O-Ring;339-8581;Valve GP-Shutoff;CCR TU&EL
3D-2824;2;;1329;Seal-O-Ring;339-8581;Valve GP-Shutoff;CCR TU&EL
373-0424;1;;1408;Harness AS-Sensor;352-9780;Wiring GP-Electronic Control;CCR TU&EL
132-5789;1;;1408;Clip;352-9780;Wiring GP-Electronic Control;CCR TU&EL
206-1345;3;;1408;Strap-Cable;352-9780;Wiring GP-Electronic Control;CCR TU&EL
316-9351;3;;1408;Mounting-Cable Tie;359-4950;Wiring GP-Electronic Control;CCR TU&EL
419-6286;1;;1408;Harness AS-Engine;359-4950;Wiring GP-Electronic Control;CCR TU&EL
3S-2093;8;;1408;Strap-Cable;419-6286;Harness AS-Engine;CCR TU&EL
