Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ceRAB;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
324-9751;1;;1316;CAP-OIL FILLER (ENGINE);353-0196;FILLER GP-ENGINE OIL;CCR DESAR
5P-0597;2;;1316;CLAMP-HOSE;353-0196;FILLER GP-ENGINE OIL;CCR DESAR
5P-8211;1;;1316;SEAL-O-RING;353-0196;FILLER GP-ENGINE OIL;CCR DESAR
9D-6196;1;;1316;CLIP (SLOT);353-0196;FILLER GP-ENGINE OIL;CCR DESAR
9D-6197;1;;1316;CLIP (TAB);353-0196;FILLER GP-ENGINE OIL;CCR DESAR
1R-1808;3;;1308;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);349-9380;FILTER GP-ENGINE OIL;CCR DESAR
6V-5048;2;;1308;SEAL-O-RING;349-9380;FILTER GP-ENGINE OIL;CCR DESAR
8C-3445;1;;1308;CAP-DUST;349-9380;FILTER GP-ENGINE OIL;CCR DESAR
8C-3446;1;;1308;VALVE-SAMPLING (ENGINE OIL);349-9380;FILTER GP-ENGINE OIL;CCR DESAR
2P-4304;2;;1306;STUD-HOLLOW;397-1179;BASE AS-OIL FILTER;CCR DESAR
0S-1591;3;;1261;BOLT (3/8-16X1.5-IN);350-1328;FILTER GP-FUEL;CCR DESAR
238-5080;1;;1261;SEAL-O-RING;350-1328;FILTER GP-FUEL;CCR DESAR
238-5081;1;;1261;SEAL-O-RING;350-1328;FILTER GP-FUEL;CCR DESAR
1R-0755;2;;1262;FILTER-FUEL (ADVANCED EFFICIENCY);344-5583;BASE GP-FUEL FILTER;CCR DESAR
234-5013;1;;1262;SENSOR GP-TEMPERATURE (FUEL);344-5583;BASE GP-FUEL FILTER;CCR TU&EL
275-1253;1;;1262;SWITCH GP-PRESSURE (FUEL FILTER);344-5583;BASE GP-FUEL FILTER;CCR TU&EL
325-8634;1;;1262;SENSOR GP-PRESSURE (FUEL);344-5583;BASE GP-FUEL FILTER;CCR TU&EL
8N-3653;2;;1262;STUD-TAPERLOCK;344-5583;BASE GP-FUEL FILTER;CCR DESAR
214-7566;1;;1262;SEAL-O-RING;344-5583;BASE GP-FUEL FILTER;CCR DESAR
238-5080;1;;1262;SEAL-O-RING;344-5583;BASE GP-FUEL FILTER;CCR DESAR
214-7567;1;;1262;SEAL-O-RING;344-5583;BASE GP-FUEL FILTER;CCR DESAR
202-2605;2;;1317;HOSE;431-8800;FUMES DISPOSAL GP;CCR DESAR
5P-0597;4;;1317;CLAMP-HOSE;431-8800;FUMES DISPOSAL GP;CCR DESAR
6V-0545;2;;1317;GROMMET;431-8800;FUMES DISPOSAL GP;CCR DESAR
165-6170;1;;1326;PLUG;376-4179;GAUGE GP-OIL LEVEL (DIPSTICK);CCR DESAR
376-4178;1;;1326;GAUGE AS-OIL LEVEL (DIPSTICK) (ENGINE);376-4179;GAUGE GP-OIL LEVEL (DIPSTICK);CCR DESAR
118-5068;1;;1326;SEAL-O-RING;376-4179;GAUGE GP-OIL LEVEL (DIPSTICK);CCR DESAR
161-6149;1;;1326;SEAL-O-RING;376-4179;GAUGE GP-OIL LEVEL (DIPSTICK);CCR DESAR
4N-0848;1;;1204;SLEEVE-WEAR;399-5083;GEAR GP-REAR;CCR DESAR
5F-7403;2;;1204;LOCKWASHER;399-5083;GEAR GP-REAR;CCR DESAR
5F-7404;2;;1204;LOCKNUT-BEARING;399-5083;GEAR GP-REAR;CCR DESAR
5P-1370;2;;1204;BEARING AS-ROLLER;399-5083;GEAR GP-REAR;CCR DESAR
102-5861;2;;1204;PLATE-THRUST;399-5083;GEAR GP-REAR;CCR DESAR
224-9664;2;;1204;BUSHING;399-5083;GEAR GP-REAR;CCR DESAR
194-0620;2;;1204;HOSE AS;399-5083;GEAR GP-REAR;CCR DESAR
4N-0684;2;;1204;DOWEL;399-5083;GEAR GP-REAR;CCR DESAR
1B-8705;1;;1204;KEY-WOODRUFF;399-5083;GEAR GP-REAR;CCR DESAR
226-6052;1;;1204;BUSHING;399-5083;GEAR GP-REAR;CCR DESAR
229-1663;1;;1204;PLATE-THRUST;399-5083;GEAR GP-REAR;CCR DESAR
031-5085;6;;1204;BOLT-LOCKING (1/4-20X1-IN);399-5083;GEAR GP-REAR;CCR DESAR
117-8801;2;;1204;SEAL-O-RING;399-5083;GEAR GP-REAR;CCR DESAR
132-5789;1;;1204;CLIP (LADDER);399-5083;GEAR GP-REAR;CCR DESAR
214-7568;2;;1204;SEAL-O-RING;399-5083;GEAR GP-REAR;CCR DESAR
297-7956;2;;1204;ELBOW (INCLUDES SCREEN FILTER);399-5083;GEAR GP-REAR;CCR DESAR
4P-7428;2;;1204;CLIP (LADDER);399-5083;GEAR GP-REAR;CCR DESAR
5E-8771;2;;1204;SEAL-O-RING;399-5083;GEAR GP-REAR;CCR DESAR
5P-8429;2;;1204;SEAL-O-RING;399-5083;GEAR GP-REAR;CCR DESAR
502-4034;1;;1204;SEAL-O-RING;399-5083;GEAR GP-REAR;CCR DESAR
6V-4589;2;;1204;SEAL-O-RING;399-5083;GEAR GP-REAR;CCR DESAR
225-1242;1;;1157;GASKET;226-0297;HOUSING GP-FLYWHEEL;CCR DESAR
5P-7814;1;;1157;SEAL-O-RING;226-0297;HOUSING GP-FLYWHEEL;CCR DESAR
8S-9191;6;;1157;BOLT (3/8-16X4-IN);226-0297;HOUSING GP-FLYWHEEL;CCR DESAR
4P-8134;1;;1157;CLIP (LADDER)(LADDER);226-0297;HOUSING GP-FLYWHEEL;CCR DESAR
142-5868;1;;1160;SEAL-CRANKSHAFT (REAR);319-0785;SEAL GP-CRANKSHAFT -REAR;CCR BLOCK
5P-5700;8;;1071;SEAL-O-RING;348-7879;LINES GP-AIR;CCR DESAR
4N-0913;1;;1307;SCREEN-STRAINER;376-6447;LINES GP-ENGINE OIL;CCR DESAR
4N-0914;1;;1307;CLIP;376-6447;LINES GP-ENGINE OIL;CCR DESAR
5P-8068;3;;1307;SEAL-O-RING;376-6447;LINES GP-ENGINE OIL;CCR DESAR
8J-4351;1;;1307;SEAL-O-RING;376-6447;LINES GP-ENGINE OIL;CCR DESAR
8S-9191;2;;1307;BOLT (3/8-16X4-IN);376-6447;LINES GP-ENGINE OIL;CCR DESAR
4N-0865;1;;1308;GASKET;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
9F-6304;2;;1308;SPRING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
1P-1367;2;;1308;PLUNGER (RELIEF VALVE);352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
378-0576;1;;1308;HOSE AS;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
378-0575;1;;1308;HOSE AS;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
228-7096;1;;1308;SEAL-O-RING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
061-7540;3;;1308;SEAL-O-RING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
112-3540;2;;1308;SEAL-O-RING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
113-5304;3;;1308;SEAL-O-RING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
214-7568;1;;1308;SEAL-O-RING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
238-5080;1;;1308;SEAL-O-RING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
5P-8068;1;;1308;SEAL-O-RING;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
346-6393;1;;1308;GROMMET;352-6152;LINES GP-ENGINE OIL FILTER;CCR DESAR
327-4448;2;;1274;VALVE GP-CHECK;440-5222;LINES GP-FUEL;CCR DESAR
214-7568;3;;1274;SEAL-O-RING;440-5222;LINES GP-FUEL;CCR DESAR
456-9151;1;;1274;HOSE &amp;;;
456-9173;1;;1274;HOSE &amp;;;
456-9178;1;;1274;HOSE &amp;;;
456-9179;1;;1274;HOSE &amp;;;
238-5080;1;;1274;SEAL-O-RING;440-5222;LINES GP-FUEL;CCR DESAR
238-5081;1;;1274;SEAL-O-RING;440-5222;LINES GP-FUEL;CCR DESAR
108-1434;2;;1274;GROMMET;352-5699;LINES GP-FUEL FILTER;CCR DESAR
185-4026;1;;1274;VALVE GP-CHECK;352-5699;LINES GP-FUEL FILTER;CCR DESAR
3K-0360;1;;1274;SEAL-O-RING;352-5699;LINES GP-FUEL FILTER;CCR DESAR
6V-8398;1;;1274;SEAL-O-RING;352-5699;LINES GP-FUEL FILTER;CCR DESAR
441-7415;1;;1274;HOSE &amp;;;
441-7416;1;;1274;HOSE &amp;;;
353-7952;1;;1274;GROMMET;352-5699;LINES GP-FUEL FILTER;CCR DESAR
238-5081;5;;1274;SEAL-O-RING;352-5699;LINES GP-FUEL FILTER;CCR DESAR
238-5080;2;;1274;SEAL-O-RING;352-5699;LINES GP-FUEL FILTER;CCR DESAR
7N-7559;2;;1052;GASKET;379-3290;LINES GP-TURBOCHARGER OIL;CCR DESAR
246-6036;2;;1052;HOSE;379-3290;LINES GP-TURBOCHARGER OIL;CCR DESAR
444-1247;1;;1052;HOSE &amp;;;
448-1355;1;;1052;HOSE &amp;;;
7N-8875;2;;1052;GASKET;379-3290;LINES GP-TURBOCHARGER OIL;CCR DESAR
228-7091;1;;1052;SEAL-O-RING;379-3290;LINES GP-TURBOCHARGER OIL;CCR DESAR
238-5081;1;;1052;SEAL-O-RING;379-3290;LINES GP-TURBOCHARGER OIL;CCR DESAR
7X-7958;4;;1052;CLAMP-HOSE;379-3290;LINES GP-TURBOCHARGER OIL;CCR DESAR
4P-7233;3;;1380;GROMMET;379-3291;LINES GP-TURBOCHARGER WATER;CCR DESAR
341-9211;8;;1380;GASKET;379-3291;LINES GP-TURBOCHARGER WATER;CCR TU&EL
446-4127;1;;1380;HOSE &amp;;;
379-3480;1;;1380;HOSE AS-WATER;379-3291;LINES GP-TURBOCHARGER WATER;CCR DESAR
6V-6609;1;;1380;SEAL-O-RING;379-3291;LINES GP-TURBOCHARGER WATER;CCR DESAR
6V-3251;1;;1380;SEAL-O-RING;379-3291;LINES GP-TURBOCHARGER WATER;CCR DESAR
6V-5064;1;;1380;SEAL-O-RING;379-3291;LINES GP-TURBOCHARGER WATER;CCR DESAR
4N-1946;1;;1380;GASKET;354-3515;LINES GP-WATER;CCR DESAR
4N-2199;1;;1380;GASKET;354-3515;LINES GP-WATER;CCR DESAR
6V-9027;2;;1380;SEAL-O-RING;354-3515;LINES GP-WATER;CCR DESAR
157-0670;1;;1380;CAP-DUST;354-3515;LINES GP-WATER;CCR DESAR
154-9023;1;;1380;VALVE-SAMPLING;354-3515;LINES GP-WATER;CCR DESAR
343-8888;2;;1380;GASKET;354-3515;LINES GP-WATER;CCR DESAR
6V-5063;2;;1380;SEAL-O-RING;354-3515;LINES GP-WATER;CCR DESAR
6V-5064;1;;1380;SEAL-O-RING;354-3515;LINES GP-WATER;CCR DESAR
109-0074;1;;1380;SEAL-O-RING;354-3515;LINES GP-WATER;CCR DESAR
109-0077;2;;1380;SEAL-O-RING;354-3515;LINES GP-WATER;CCR DESAR
0S-1591;2;;1380;BOLT (3/8-16X1.5-IN);354-3515;LINES GP-WATER;CCR DESAR
6V-6609;1;;1380;SEAL-O-RING;354-3515;LINES GP-WATER;CCR DESAR
7C-0307;3;;1380;GASKET;354-3515;LINES GP-WATER;CCR DESAR
3B-0622;1;;1380;PLUG-CUP;375-9542;LINES GP-WATER;CCR DESAR
3S-9643;2;;1380;SEAL-LIP TYPE;375-9542;LINES GP-WATER;CCR DESAR
111-4374;1;;1380;VALVE AS;375-9542;LINES GP-WATER;CCR DESAR
279-3397;1;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
6V-9027;2;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
6V-5063;1;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
248-5513;2;;1380;REGULATOR-WATER TEMPERATURE (92-DEG C);375-9542;LINES GP-WATER;CCR DESAR
0S-1591;4;;1380;BOLT (3/8-16X1.5-IN);375-9542;LINES GP-WATER;CCR DESAR
107-5769;2;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
109-0075;1;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
109-0076;3;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
200-6410;1;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
231-4708;4;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
8T-1703;3;;1380;SEAL-O-RING;375-9542;LINES GP-WATER;CCR DESAR
6V-6609;1;;1380;SEAL-O-RING;351-8496;PLUG GP-WATER LINES;CCR DESAR
8N-0879;8;;1059;CLAMP;491-1381;MANIFOLD GP-EXHAUST;CCR DESAR
239-1388;12;;1059;GASKET;491-1381;MANIFOLD GP-EXHAUST;CCR DESAR
243-3565;8;;1059;SEAL-O-RING;491-1381;MANIFOLD GP-EXHAUST;CCR DESAR
243-3566;4;;1059;BELLOWS AS;491-1381;MANIFOLD GP-EXHAUST;CCR DESAR
2N-2766;24;;1059;LOCKNUT (3/8-16-THD);491-1381;MANIFOLD GP-EXHAUST;CCR DESAR
393-5115;4;;1059;STUD-TAPERLOCK (3/8-16X2.4-IN);491-1381;MANIFOLD GP-EXHAUST;CCR DESAR
226-5613;2;;1090;GASKET;347-9437;MANIFOLD GP-INLET;CCR DESAR
5D-5958;2;;1090;SEAL-O-RING;347-9437;MANIFOLD GP-INLET;CCR DESAR
333-1207;1;;1405;IDLER AS;376-0626;MOUNTING GP-ALTERNATOR;CCR DESAR
347-7092;1;;1405;TENSIONER-BELT;376-0626;MOUNTING GP-ALTERNATOR;CCR DESAR
165-3925;2;;1405;BOLT (3/8-16X5.75-IN);376-0626;MOUNTING GP-ALTERNATOR;CCR DESAR
8T-4121;1;;1405;WASHER-HARD (11X21X2.5-MM THK);376-0626;MOUNTING GP-ALTERNATOR;CCR DESAR
8N-0422;1;;1302;GASKET;375-7122;PAN GP-OIL;CCR DESAR
353-1648;1;;1302;GASKET-OIL PAN;375-7122;PAN GP-OIL;CCR DESAR
355-3257;1;;1302;GASKET-OIL PAN;375-7122;PAN GP-OIL;CCR DESAR
379-5053;1;;1302;SEAL-O-RING;375-7122;PAN GP-OIL;CCR DESAR
5K-9090;2;;1302;SEAL-O-RING;375-7122;PAN GP-OIL;CCR DESAR
7M-8485;1;;1302;SEAL-O-RING;375-7122;PAN GP-OIL;CCR DESAR
1S-0004;1;;1302;SEAL-O-RING;375-7122;PAN GP-OIL;CCR DESAR
4J-0528;1;;1302;SEAL-O-RING;375-7122;PAN GP-OIL;CCR DESAR
4N-0699;1;;1302;GASKET;375-7122;PAN GP-OIL;CCR DESAR
4P-8134;5;;1801;CLIP (LADDER);415-7216;PANEL GP-SOUND SUPPRESSION;CCR DESAR
6V-8455;5;;1801;BOLT (M10X1.5X16-MM);415-7216;PANEL GP-SOUND SUPPRESSION;CCR DESAR
165-6170;2;;1201;PLUG;357-1093;PLUG GP-CYLINDER BLOCK;CCR DESAR
214-7568;1;;1201;SEAL-O-RING;357-1093;PLUG GP-CYLINDER BLOCK;CCR DESAR
214-7566;1;;1201;SEAL-O-RING;357-1093;PLUG GP-CYLINDER BLOCK;CCR DESAR
238-5081;1;;1201;SEAL-O-RING;357-1093;PLUG GP-CYLINDER BLOCK;CCR DESAR
3B-0645;4;;1101;PLUG-CUP (32.08-MM OD);223-6407;PLUG GP-CYLINDER HEAD;CCR CLT
5M-2894;2;;1256;WASHER-HARD (10.2X18.5X2.5-MM THK);331-7465;PUMP GP-FUEL TRANSFER;CCR DESAR
8C-3089;1;;1256;SEAL-O-RING;331-7465;PUMP GP-FUEL TRANSFER;CCR DESAR
9X-7371;1;;1361;SEAL-O-RING;348-4037;PUMP GP-WATER;CCR BBA
4N-3841;1;;1921;GASKET;463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
7K-1181;10;;1921;STRAP-CABLE;463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
130-0793;2;;1921;PLUG AS;463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
171-8708;1;;1921;SWITCH GP-FLOW;463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
178-1781;1;;1921;CLIP;463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
343-6890;2;;1921;SENSOR GP-TEMPERATURE (TURBOCHARGER INLET);463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
132-5789;1;;1921;CLIP (LADDER);463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
277-1873;1;;1921;CLIP (LADDER);463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
430-9455;1;;1921;SENSOR GP-LIQUID LEVEL (HYDROCARBON)(ENGINE OIL);463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
4P-7428;1;;1921;CLIP (LADDER);463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
4P-7429;2;;1921;CLIP (LADDER);463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
5M-2894;3;;1921;WASHER-HARD (10.2X18.5X2.5-MM THK);463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
6V-4589;1;;1921;SEAL-O-RING;463-5557;SENSOR GP-TEMPERATURE;CCR TU&EL
