Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;3TZ;100-8094;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
5R-7137;2;;1207;WASHER-SEALING;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
115-0591;1;;1207;BUSHING;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
7C-3258;1;;1207;WASHER AS-THRUST;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
7N-7539;2;;1207;WASHER-THRUST;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
9M-1974;4;;1207;WASHER-HARD (8.8X16X2-MM THK);7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
9S-8893;12;;;BOLT-12 Point Head(1-14X4-IN);9Y-9202;FLYWHEEL GP;CCR DISTRI
103-0892;1;;1380;GROMMET;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
110-0096;2;;1380;RING;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
2N-8630;1;;1380;GASKET;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
4N-1320;1;;1380;GASKET (ADAPTER);103-0888;LINES GP-WATER -LOWER;CCR EN&CA
6V-5066;7;;1380;SEAL-O-RING;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
6V-6609;2;;1380;SEAL-O-RING;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
7N-4932;2;;1380;GASKET;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
7N-4945;1;;1380;GASKET;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
7S-8767;4;;1380;GASKET;103-0888;LINES GP-WATER -LOWER;CCR EN&CA
111-5059;2;;;Core AS-Aftercooler;107-7197 ;AFTERCOOLER GP-TREATED WATER;CCR EN&CA
187-4607;1;;1380;HOSE AS;116-7990;LINES GP-AFTERCOOLER WATER;CCR EN&CA
230-1072;2;;1380;GASKET;116-7990;LINES GP-AFTERCOOLER WATER;CCR EN&CA
3J-7354;2;;1380;SEAL-O-RING;116-7990;LINES GP-AFTERCOOLER WATER;CCR EN&CA
