Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;7KK, 10R8903;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
7M-8485;2;;1306;Seal-O-Ring;131-6206;Filter GP-Engine Oil;CCR DESARME
2W-8225;2;;1306;Stud-Taperlock;131-6206;Filter GP-Engine Oil;CCR DESARME
2M-9780;1;;1306;Seal-O-Ring;131-6206;Filter GP-Engine Oil;CCR DESARME
165-6170;6;;1326;Plug;130-5756;Gauge GP-Oil Level (Dipstick);CCR DESARME
5P-9299;1;;1326;Clip;130-5756;Gauge GP-Oil Level (Dipstick);CCR DESARME
118-5068;1;;1326;Seal-O-Ring;130-5756;Gauge GP-Oil Level (Dipstick);CCR DESARME
130-5758;1;;1326;Gauge AS-Oil Level (Dipstick);130-5756;Gauge GP-Oil Level (Dipstick);CCR DESARME
112-9217;1;;1151;Plate-Thrust;126-7282;Gear GP-Front;CCR DESARME
131-7123;1;;1151;Bushing;126-7282;Gear GP-Front;CCR DESARME
1B-8705;1;;1151;Key-Woodruff;126-7282;Gear GP-Front;CCR DESARME
4N-0684;1;;1204;Dowel;6I-1419;Gear GP-Rear;CCR DESARME
6V-4589;1;;1204;Seal-O-Ring;6I-1419;Gear GP-Rear;CCR DESARME
8N-7806;1;;1204;Hose AS;6I-1419;Gear GP-Rear;CCR DESARME
9F-7882;1;;1204;Pin-Spring;6I-1419;Gear GP-Rear;CCR DESARME
5F-7404;1;;1204;Locknut-Bearing;6I-1419;Gear GP-Rear;CCR DESARME
5F-7403;1;;1204;Lockwasher;6I-1419;Gear GP-Rear;CCR DESARME
5P-1370;2;;1204;Bearing AS-Roller;6I-1419;Gear GP-Rear;CCR DESARME
5P-8429;2;;1204;Seal-O-Ring;6I-1419;Gear GP-Rear;CCR DESARME
4N-0848;1;;1204;Sleeve-Wear;6I-1419;Gear GP-Rear;CCR DESARME
5K-9065;2;;1204;Ring-Retaining;6I-1419;Gear GP-Rear;CCR DESARME
502-4034;1;;1204;Seal-O-Ring;6I-1419;Gear GP-Rear;CCR DESARME
6V-7423;2;;1204;Bearing AS-Roller;6I-1419;Gear GP-Rear;CCR DESARME
2D-6398;1;;1204;Ring-Retaining;6I-1419;Gear GP-Rear;CCR DESARME
4N-1186;2;;1204;Bushing;6I-1419;Gear GP-Rear;CCR DESARME
9X-7371;1;;1204;Seal-O-Ring;6I-1419;Gear GP-Rear;CCR DESARME
161-7293;1;;1157;Gasket-Cylinder;130-0926;Housing GP-Flywheel;CCR DESARME
4N-0933;2;;1157;Gasket;130-0926;Housing GP-Flywheel;CCR DESARME
3D-2871;2;;1157;Stud-Taperlock;130-0926;Housing GP-Flywheel;CCR DESARME
166-9145;1;;1151;Gasket-Cylinder Block;126-7280;Housing GP-Front;CCR DESARME
129-6628;2;;1151;Sensor GP-Speed;126-7280;Housing GP-Front;CCR EL&TU
3K-3256;2;;1151;Stud-Taperlock;126-7280;Housing GP-Front;CCR DESARME
2K-4973;1;;1151;Locknut;126-7280;Housing GP-Front;CCR DESARME
265-9033;2;;1151;Sensor GP-Speed;137-8142;Housing GP-Front;CCR EL&TU
8N-0879;4;;1071;Clamp;130-1133;Lines GP-Air;CCR DESARME
129-9417;1;;1071;Gasket;130-1133;Lines GP-Air;CCR DESARME
4L-8337;2;;1071;Seal-O-Ring;130-1133;Lines GP-Air;CCR DESARME
5S-1188;2;;1071;Seal-O-Ring;130-1133;Lines GP-Air;CCR DESARME
5P-2755;4;;1071;Bolt-High Temperature;130-1133;Lines GP-Air;CCR DESARME
6V-3830;2;;1307;Seal-O-Ring;130-5475;Lines GP-Engine Oil;CCR DESARME
109-0078;4;;1307;Seal-O-Ring;130-5475;Lines GP-Engine Oil;CCR DESARME
109-0072;1;;1307;Seal-O-Ring;130-5475;Lines GP-Engine Oil;CCR DESARME
8N-6739;1;;1307;Ring-Retaining;130-5475;Lines GP-Engine Oil;CCR DESARME
109-0076;4;;1307;Seal-O-Ring;130-5475;Lines GP-Engine Oil;CCR DESARME
2P-3760;1;;1307;Gasket;130-5475;Lines GP-Engine Oil;CCR DESARME
4N-0933;1;;1307;Gasket;130-5475;Lines GP-Engine Oil;CCR DESARME
4N-8150;1;;1307;Spring;130-5475;Lines GP-Engine Oil;CCR DESARME
9M-0853;1;;1307;Plunger-Valve;130-5475;Lines GP-Engine Oil;CCR DESARME
4N-0913;1;;1307;Screen-Strainer;130-5475;Lines GP-Engine Oil;CCR DESARME
4N-0914;1;;1307;Clip;130-5475;Lines GP-Engine Oil;CCR DESARME
6V-5048;1;;1307;Seal-O-Ring;130-5475;Lines GP-Engine Oil;CCRCCR DESARME DESARME
125-6796;1;;1261;Hose AS;130-5764;Lines GP-Fuel Filter;CCR DESARME
8W-6049;1;;1261;Hose AS;130-5764;Lines GP-Fuel Filter;CCR DESARME
125-6797;1;;1261;Hose AS;130-5764;Lines GP-Fuel Filter;CCR DESARME
6V-5049;17;;1261;Seal-O-Ring;130-5764;Lines GP-Fuel Filter;CCR DESARME
8L-2779;8;;1261;Seal-O-Ring;130-5764;Lines GP-Fuel Filter;CCR DESARME
1R-0749;2;;1261;Filter-Fuel;130-5764;Lines GP-Fuel Filter;CCR DESARME
1P-0436;1;;1261;Gasket;130-5764;Lines GP-Fuel Filter;CCR DESARME
