Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;340-2665;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
359-1439;48;1100;SEAL AS-WATER;339-3585;;CCR CLT;;;
106-1792;24;1100;STUD-TAPERLOCK (3/8-16X4-IN);339-3585;;CCR CLT;;;
225-3099;2;1100;GASKET-CYLINDER HEAD;339-3585;;CCR CLT;;;
445-8643;1;1100;PANEL;339-3585;;CCR CLT;;;
214-7568;1;1100;SEAL-O-RING;339-3585;;CCR CLT;;;
6V-6609;1;1100;SEAL-O-RING;339-3585;;CCR CLT;;;
0L-1143;1;1304;BOLT (3/8-16X2.5-IN);119-8583;;CCR DESAR;;;
3G-2292;5;1162;BOLT-LOCKING (3/8-16X0.87-IN);355-2286;;CCR DESAR;;;
4N-0342;1;1162;PLATE;355-2286;;CCR DESAR;;;
7N-2443;1;1162;WASHER-THRUST (2.508X3.5X0.188-IN THK);355-2286;;CCR DESAR;;;
112-9217;1;1162;PLATE-THRUST;355-2286;;CCR DESAR;;;
4N-0684;2;1162;DOWEL;355-2286;;CCR DESAR;;;
1B-8705;2;1162;KEY-WOODRUFF;355-2286;;CCR DESAR;;;
131-7123;1;1162;BUSHING;355-2286;;CCR DESAR;;;
031-5085;6;1162;BOLT-LOCKING (1/4-20X1-IN);355-2286;;CCR DESAR;;;
117-8801;2;1162;SEAL-O-RING;355-2286;;CCR DESAR;;;
5E-8771;2;1162;SEAL-O-RING;355-2286;;CCR DESAR;;;
5P-0537;6;1162;WASHER-HARD (7.2X14.5X2-MM THK);355-2286;;CCR DESAR;;;
214-1727;1;1162;GASKET;350-1639;;CCR DESAR;;;
2K-4973;1;1162;LOCKNUT (3/8-16-THD);350-1639;;CCR DESAR;;;
3K-3256;2;1162;STUD-TAPERLOCK (3/8-16X1.7-IN);350-1639;;CCR DESAR;;;
161-7293;1;1166;GASKET-CYLINDER;350-8861;;CCR DESAR;;;
316-9154;1;1166;HOSE AS;350-8861;;CCR DESAR;;;
061-8639;1;1166;SEAL-O-RING;350-8861;;CCR DESAR;;;
5P-0537;2;1166;WASHER-HARD (7.2X14.5X2-MM THK);350-8861;;CCR DESAR;;;
6V-5048;3;1166;SEAL-O-RING;350-8861;;CCR DESAR;;;
196-5070;12;1123;NUT-JAM (9/16-18-THD);489-8223;;CCR DESAR;;;
258-8721;12;1123;BUTTON;489-8223;;CCR DESAR;;;
274-4492;12;1123;SCREW-ARM ADJUSTMENT;489-8223;;CCR DESAR;;;
8L-2777;12;1123;SEAL-O-RING;489-8223;;CCR DESAR;;;
8S-9191;12;1290;BOLT (3/8-16X4-IN);235-1401;;CCR DESAR;;;
20R-2284;12;1290;INJECTOR GP-FUEL;235-1401;;CCR DESAR;;;
3S-2093;1;1907;STRAP-CABLE;347-7065;;CCR DESAR;;;
125-5835;1;1907;PLUG-FELT;347-7065;;CCR TU&EL;;;
214-7568;1;1907;SEAL-O-RING;347-7065;;CCR TU&EL;;;
234-5012;1;1907;SENSOR GP-TEMPERATURE (WATER, COOLANT TEMPER;347-7065;;CCR TU&EL;;;
276-9067;1;1907;SENSOR GP-PRESSURE (ENGINE OIL);347-7065;;CCR TU&EL;;;
300-9805;1;1907;SENSOR GP-SPEED (PRIMARY, TIMING);347-7065;;CCR TU&EL;;;
300-9806;1;1907;SENSOR GP-SPEED (SECONDARY, TIMING);347-7065;;CCR TU&EL;;;
331-1134;1;1907;SENSOR GP-PRESSURE (ATMOSPHERIC);347-7065;;CCR TU&EL;;;
332-0296;2;1907;SENSOR GP-PRESSURE (LH);347-7065;;CCR TU&EL;;;
228-7101;2;1907;SEAL-O-RING;347-7065;;CCR TU&EL;;;
8L-2786;2;1907;SEAL-O-RING;347-7065;;CCR TU&EL;;;
9M-1974;2;1907;WASHER-HARD (8.8X16X2-MM THK);347-7065;;CCR TU&EL;;;
