Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;BXY_20R-4097_988;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
324-6804;1;1801;Cover AS;227-9980;Panel GP-Sound Suppression;CCR  DESARME;;;
214-7566;1;1201;Seal-O-Ring;235-8397;Plug GP-Cylinder Block;CCR  DESARME;;;
238-5080;5;1201;Seal-O-Ring;235-8397;Plug GP-Cylinder Block;CCR  DESARME;;;
238-5081;1;1201;Seal-O-Ring;235-8397;Plug GP-Cylinder Block;CCR  DESARME;;;
6V-6609;3;1201;Seal-O-Ring;235-8397;Plug GP-Cylinder Block;CCR  DESARME;;;
6V-3251;1;1100;Seal-O-Ring;230-5378;Plug GP-Cylinder Head;CCR  DESARME;;;
107-5769;2;1256;Seal-O-Ring;150-4279;Pump & Mtg GP-Fuel Transfer;CCR  DESARME;;;
9M-3786;1;1361;Seal-O-Ring;174-5986;Pump GP-Water;CCR  DESARME;;;
122-3772;1;1361;Seal-O-Ring;174-5986;Pump GP-Water;CCR  DESARME;;;
109-0077;1;1361;Seal-O-Ring;174-5986;Pump GP-Water;CCR  DESARME;;;
274-6719;1;1718;Sensor GP-Pressure;354-0041;Sensor GP-Engine;CCR TU&EL;;;
214-7566;2;1718;Seal-O-Ring;354-0041;Sensor GP-Engine;CCR TU&EL;;;
214-7568;1;1718;Seal-O-Ring;354-0041;Sensor GP-Engine;CCR TU&EL;;;
3P-1155;1;1718;Seal-O-Ring;354-0041;Sensor GP-Engine;CCR TU&EL;;;
228-4947;1;1907;Seal-O-Ring;214-2484;Sensor GP-Speed;CCR TU&EL;;;
191-8303;1;1907;Sensor GP-Speed;214-2484;Sensor GP-Speed;CCR TU&EL;;;
256-6453;1;1408;Sensor-Temperature;234-5012;Sensor GP-Temperature;CCR TU&EL;;;
6V-6609;1;1408;Seal-O-Ring;234-5012;Sensor GP-Temperature;CCR TU&EL;;;
274-6718;1;1408;Sensor GP-Pressure;249-0096;Sensor GP-Pressure;CCR TU&EL;;;
214-7566;1;1408;Seal-O-Ring;249-0096;Sensor GP-Pressure;CCR TU&EL;;;
274-6717;1;1408;Sensor-Pressure;276-8548;Sensor GP-Pressure;CCR TU&EL;;;
214-7568;1;1408;Seal-O-Ring;276-8548;Sensor GP-Pressure;CCR TU&EL;;;
228-4947;1;1907;Seal-O-Ring;300-9804;Sensor GP-Speed;CCR TU&EL;;;
279-9830;1;1907;Sensor GP-Speed;300-9804;Sensor GP-Speed;CCR TU&EL;;;
357-1752;1;1052;Gasket-Turbocharger;246-6624;Turbocharger GP;CCR TU&EL;;;
375-2467;4;1052;Locknut-Flange;246-6624;Turbocharger GP;CCR TU&EL;;;
3S-2093;29;1408;Strap-Cable;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
206-1345;6;1408;Strap-Cable;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
354-0049;1;1408;Harness AS-Engine;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
104-6202;2;1408;Clip;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
132-5789;3;1408;Clip;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
332-0012;1;1408;Clip;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
4P-7429;1;1408;Clip;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
4P-7581;1;1408;Clip;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
4P-8134;5;1408;Clip;356-1798;Wiring GP-Electronic Control;CCR TU&EL;;;
319-7401;1;1202;Seal GP-Crankshaft;223-9732;Crankshaft GP;CCR BLOCK;;;
