Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;CCR WRH 3665513;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
6V-5065;1;;1201;Seal-O-Ring;305-9196;Plug GP-Cylinder Block;CCR BLK
5P-0840;1;;1100;Seal-O-Ring;432-5472;Cylinder Head GP;CCR CULATAS
214-7568;3;;1100;Seal-O-Ring;432-5472;Cylinder Head GP;CCR CULATAS
6V-3251;1;;1100;Seal-O-Ring;234-9184;Plug GP-Cylinder Head;CCR CULATAS
214-7568;4;;1100;Seal-O-Ring;234-9184;Plug GP-Cylinder Head;CCR CULATAS
1B-3867;2;;1313;Ball Bearing;133-9907;Adapter GP-Pump Drive;CCR DESAR
437-7746;2;;1405;Mount;584-3419;Alternator & Mounting GP;CCR DESAR
6N-7135;1;;1405;V-Belt;584-3419;Alternator & Mounting GP;CCR DESAR
228-7089;1;;1262;Seal-O-Ring;191-5055;Base GP-Fuel Filter;CCR DESAR
238-5080;1;;1262;Seal-O-Ring;191-5055;Base GP-Fuel Filter;CCR DESAR
9L-8925;14;;1120;Bolt;278-5662;Base GP-Valve Cover & Inj Harn;CCR DESAR
7E-6508;6;;1120;Cap AS;278-5662;Base GP-Valve Cover & Inj Harn;CCR DESAR
425-0289;1;;1120;Harness AS-Wiring;278-5662;Base GP-Valve Cover & Inj Harn;CCR DESAR
326-4512;6;;1120;Mounting-Cable Tie;278-5662;Base GP-Valve Cover & Inj Harn;CCR DESAR
272-0390;1;;1120;Seal;278-5662;Base GP-Valve Cover & Inj Harn;CCR DESAR
