Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;20R4691 24M B93;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
6V-6609;1;;1380;SEAL-O-RING;193-7404;;CCR DESAR
117-8801;1;;1162;SEAL-O-RING;207-0449;;CCR DESAR
5E-8771;1;;1162;SEAL-O-RING;207-0449;;CCR DESAR
214-7567;1;;1307;SEAL-O-RING;219-4443;;CCR DESAR
2N-3350;2;;1307;SEAL-O-RING;219-4443;;CCR DESAR
3E-6790;1;;1307;SEAL-O-RING;219-4443;;CCR DESAR
113-5304;2;;1307;SEAL-O-RING;219-4443;;CCR DESAR
5P-8068;2;;1307;SEAL-O-RING;219-4443;;CCR DESAR
8C-5230;2;;1307;SEAL-O-RING;219-4443;;CCR DESAR
118-5068;1;;1326;SEAL-O-RING;221-1764;;CCR DESAR
238-5081;1;;1274;SEAL-O-RING;233-6742;;CCR DESAR
214-7566;1;;1151;SEAL-O-RING;235-8781;;CCR DESAR
6V-3683;1;;1924;SEAL-O-RING;260-0266;;CCR DESAR
214-7566;1;;1924;SEAL-O-RING;260-0266;;CCR DESAR
8J-4351;1;;1924;SEAL-O-RING;260-0266;;CCR DESAR
210-9246;1;;1052;SEAL-O-RING;262-9967;;CCR DESAR
228-7090;1;;1052;SEAL-O-RING;262-9967;;CCR DESAR
238-5081;1;;1052;SEAL-O-RING;262-9967;;CCR DESAR
210-9246;1;;7513;SEAL-O-RING;263-7310;;CCR DESAR
6V-6609;4;;1350;SEAL-O-RING;274-9994;;CCR DESAR
6V-5064;2;;1350;SEAL-O-RING;274-9994;;CCR DESAR
416-1498;3;;1350;SEAL-O-RING;274-9994;;CCR DESAR
6V-9027;2;;1350;SEAL-O-RING;274-9994;;CCR DESAR
238-5080;1;;1274;SEAL-O-RING;275-7666;;CCR DESAR
214-7568;3;;1274;SEAL-O-RING;275-7666;;CCR DESAR
214-7566;1;;1306;SEAL-O-RING;292-4057;;CCR DESAR
214-7568;1;;1306;SEAL-O-RING;292-4057;;CCR DESAR
238-5081;1;;1306;SEAL-O-RING;292-4057;;CCR DESAR
5P-8068;1;;1302;SEAL-O-RING;307-7409;;CCR DESAR
5P-5846;1;;1302;SEAL-O-RING;307-7409;;CCR DESAR
238-5084;1;;1302;SEAL-O-RING;307-7409;;CCR DESAR
6V-3830;1;;1302;SEAL-O-RING;307-7409;;CCR DESAR
6V-1197;1;;1210;SEAL-O-RING;314-9614;;CCR DESAR
214-7568;2;;1261;SEAL-O-RING;356-8379;;CCR DESAR
214-7566;2;;1261;SEAL-O-RING;356-8379;;CCR DESAR
228-7089;1;;1261;SEAL-O-RING;356-8379;;CCR DESAR
238-5080;5;;1261;SEAL-O-RING;356-8379;;CCR DESAR
6V-3251;1;;1274;SEAL-O-RING;356-8380;;CCR DESAR
228-7090;1;;1274;SEAL-O-RING;356-8380;;CCR DESAR
238-5081;2;;1274;SEAL-O-RING;356-8380;;CCR DESAR
5P-0840;1;;1201;SEAL-O-RING;358-6883;;CCR DESAR
214-7566;1;;1157;SEAL-O-RING;380-6962;;CCR DESAR
238-5080;1;;1157;SEAL-O-RING;380-6962;;CCR DESAR
214-7567;1;;1157;SEAL-O-RING;380-6962;;CCR DESAR
4M-0189;2;;1157;SEAL-O-RING;380-6962;;CCR DESAR
6V-5141;2;;1204;SEAL-O-RING;395-0511;;CCR DESAR
5P-0840;1;;1100;SEAL-O-RING;432-5472;;CCR DESAR
214-7566;1;;1924;SEAL-O-RING;439-0117;;CCR DESAR
6V-3683;1;;1924;SEAL-O-RING;439-0117;;CCR DESAR
8J-4351;1;;1924;SEAL-O-RING;439-0117;;CCR DESAR
8T-9527;1;;3108;SEAL-O-RING;6I-3638;;CCR DESAR
238-5078;2;;1151;SEAL-O-RING (MARKED X);159-6159;;CCR DESAR
242-9537;2;;1120;SEAL-VALVE COVER;150-3135;;CCR DESAR
242-9537;1;;1120;SEAL-VALVE COVER;341-6804;;CCR DESAR
206-5017;1;;1274;SPACER (11X20X5-MM THK);275-7666;;CCR DESAR
4N-8150;1;;1307;SPRING;219-4443;;CCR DESAR
4N-8150;1;;1306;SPRING;292-4057;;CCR DESAR
123-3202;9;;1408;STRAP-CABLE;234-5005;;CCR DESAR
3S-2093;2;;1261;STRAP-CABLE;356-8379;;CCR DESAR
0S-0699;2;;1256;STUD;150-4279;;CCR DESAR
175-1366;2;;1151;STUD (MARKED X);159-6159;;CCR DESAR
2P-4304;1;;1306;STUD-HOLLOW;292-4057;;CCR DESAR
334-6832;2;;1162;STUD-SPECIAL (BRAKE);353-9979;;CCR DESAR
8T-7062;3;;1129;STUD-TAPERLOCK (1/2-13X55;322-8542;;CCR DESAR
294-3075;6;;1129;STUD-TAPERLOCK (3/8-16X1.79-IN);322-8542;;CCR DESAR
294-3076;6;;1129;STUD-TAPERLOCK (3/8-16X3.1-IN);322-8542;;CCR DESAR
