Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;r120ceJGB;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
372-1550;1;1107;CAP AS-ENGINE OIL FILLER;348-2707;COVER GP-VALVE MECHANISM;CCR DESAR;;;
124-1858;1;1107;SEAL-O-RING;348-2707;COVER GP-VALVE MECHANISM;CCR DESAR;;;
212-7728;10;1107;ISOLATOR AS;348-2707;COVER GP-VALVE MECHANISM;CCR DESAR;;;
1R-1808;1;1308;FILTER-ENGINE OIL (ADVANCED EFFICIENCY);423-8975;FILTER GP-ENGINE OIL;CCR DESAR;;;
6V-3908;2;1308;SEAL-O-RING;423-8975;FILTER GP-ENGINE OIL;CCR DESAR;;;
238-5084;1;1308;SEAL-O-RING;423-8975;FILTER GP-ENGINE OIL;CCR DESAR ;;;
2P-4304;1;1308;STUD-HOLLOW;423-8975;FILTER GP-ENGINE OIL;CCR DESAR ;;;
238-5080;1;1274;SEAL-O-RING;117-0183;FITTING GP-FUEL LINES;CCR DESAR ;;;
4N-2514;1;1156;GEAR (113-TEETH);419-0110;FLYWHEEL GP;CCR DESAR;;;
5P-8247;8;1156;WASHER-HARD (17X32X3.5-MM THK);419-0110;FLYWHEEL GP;CCR DESAR;;;
9X-2021;8;1156;BOLT-LOCKING (M16X2X45-MM);419-0110;FLYWHEEL GP;CCR DESAR;;;
9M-7958;1;1317;CLAMP-HOSE;220-7133;FUMES DISPOSAL GP;CCR DESAR;;;
220-7134;1;1317;HOSE (FUMES DISPOSAL);220-7133;FUMES DISPOSAL GP;CCR DESAR;;;
209-7309;3;1326;PLUG;220-7097;GAUGE GP-OIL LEVEL (DIPSTICK) -ENGINE;CCR DESAR;;;
220-7098;1;1326;GAUGE AS-OIL LEVEL (DIPSTICK) (ENGINE);220-7097;GAUGE GP-OIL LEVEL (DIPSTICK) -ENGINE;CCR DESAR;;;
228-4947;1;1326;SEAL-O-RING;220-7097;GAUGE GP-OIL LEVEL (DIPSTICK) -ENGINE;CCR DESAR;;;
3E-7445;1;1326;CLAMP-HOSE;220-7097;GAUGE GP-OIL LEVEL (DIPSTICK) -ENGINE;CCR DESAR;;;
4P-5820;1;1157;SENSOR GP-SPEED (ENGINE);313-2148;HOUSING GP-FLYWHEEL;CCR TU&EL;;;
